track_id,zone,error_type
115351112,matagalls,5
115351788,matagalls,2
115377251,matagalls,5
115414057,matagalls,1
115419490,matagalls,2
115419597,matagalls,3
115419731,matagalls,2
115419739,matagalls,5
115419779,matagalls,3
115420196,matagalls,2
115420204,matagalls,5
115429003,matagalls,2
115536845,matagalls,2
115541827,matagalls,5
115578685,matagalls,5
115590248,matagalls,5
115642576,matagalls,5
115678001,matagalls,5
115679327,matagalls,5
115691067,matagalls,5
115695901,matagalls,1
115697045,matagalls,3
115698147,matagalls,3
115705740,matagalls,1
115706694,matagalls,3
115706849,matagalls,5
115753420,matagalls,3
115763262,matagalls,1
115767957,matagalls,5
115770580,matagalls,3
115777202,matagalls,5
115777557,matagalls,1
115782253,matagalls,5
115784443,matagalls,1
115793741,matagalls,1
115793992,matagalls,1
115794974,matagalls,5
115797689,matagalls,5
115805202,matagalls,5
115808256,matagalls,5
115810604,matagalls,3
115814860,matagalls,5
115815015,matagalls,2
115815183,matagalls,5
115829196,matagalls,3
115831216,matagalls,1
115854642,matagalls,5
115860403,matagalls,3
115872930,matagalls,5
115899715,matagalls,1
115904593,matagalls,5
115918289,matagalls,1
115942391,matagalls,5
115965843,matagalls,1
115973229,matagalls,5
116036588,matagalls,2
116050526,matagalls,5
116057707,matagalls,3
116058526,matagalls,1
116069249,matagalls,1
116071361,matagalls,5
116072820,matagalls,1
116083878,matagalls,3
116085694,matagalls,5
116093610,matagalls,1
116096873,matagalls,1
116113578,matagalls,2
116119709,matagalls,5
116139136,matagalls,3
116159346,matagalls,3
116159622,matagalls,3
116161616,matagalls,1
116170752,matagalls,5
116178390,matagalls,1
116181540,matagalls,1
116195507,matagalls,5
116240805,matagalls,1
116273970,matagalls,5
116321653,matagalls,5
116324071,matagalls,2
116331127,matagalls,5
116333777,matagalls,5
116344125,matagalls,5
116344516,matagalls,3
116348104,matagalls,3
116351449,matagalls,1
116352219,matagalls,3
116353645,matagalls,5
116358117,matagalls,5
116358160,matagalls,3
116358462,matagalls,5
116367429,matagalls,5
116368552,matagalls,5
116368955,matagalls,5
116369383,matagalls,3
116389602,matagalls,5
116390101,matagalls,1
116404033,matagalls,5
116431723,matagalls,2
