track_id,k,radius,gps_error
115347710,2,0.001,0.001
115396430,2,0.001,0.001
115406869,2,0.001,0.001
115411909,2,0.001,0.001
115415523,2,0.001,0.001
115419462,2,0.001,0.001
115419487,2,0.001,0.001
115419539,2,0.001,0.001
115419562,2,0.001,0.001
115419589,2,0.001,0.001
115419690,2,0.001,0.001
115419738,2,0.001,0.001
115420031,2,0.001,0.001
115420037,2,0.001,0.001
115420039,2,0.001,0.001
115420137,2,0.001,0.001
115420262,2,0.001,0.001
115424618,2,0.001,0.001
115429237,2,0.001,0.001
115484341,2,0.001,0.001
115537812,2,0.001,0.001
115555882,2,0.001,0.001
115560771,2,0.001,0.001
115577815,2,0.001,0.001
115628513,2,0.001,0.001
115634339,2,0.001,0.001
115639784,2,0.001,0.001
115759279,2,0.001,0.001
115759877,2,0.001,0.001
115766449,2,0.001,0.001
115766938,2,0.001,0.001
115770069,2,0.001,0.001
115771334,2,0.001,0.001
115777312,2,0.001,0.001
115786930,2,0.001,0.001
115788676,2,0.001,0.001
115794633,2,0.001,0.001
115794816,2,0.001,0.001
115795583,2,0.001,0.001
115798130,2,0.001,0.001
115798243,2,0.001,0.001
115802702,2,0.001,0.001
115805973,2,0.001,0.001
115808253,2,0.001,0.001
115808509,2,0.001,0.001
115809105,2,0.001,0.001
115809433,2,0.001,0.001
115810622,2,0.001,0.001
115817576,2,0.001,0.001
115820561,2,0.001,0.001
115821410,2,0.001,0.001
115828106,2,0.001,0.001
115832063,2,0.001,0.001
115897736,2,0.001,0.001
115965652,2,0.001,0.001
115973894,2,0.001,0.001
115980063,2,0.001,0.001
116000932,2,0.001,0.001
116034902,2,0.001,0.001
116039100,2,0.001,0.001
116046934,2,0.001,0.001
116048164,2,0.001,0.001
116048683,2,0.001,0.001
116049576,2,0.001,0.001
116055746,2,0.001,0.001
116055819,2,0.001,0.001
116056744,2,0.001,0.001
116061073,2,0.001,0.001
116061211,2,0.001,0.001
116064065,2,0.001,0.001
116069681,2,0.001,0.001
116070754,2,0.001,0.001
116071131,2,0.001,0.001
116071229,2,0.001,0.001
116071597,2,0.001,0.001
116077322,2,0.001,0.001
116078452,2,0.001,0.001
116078741,2,0.001,0.001
116079066,2,0.001,0.001
116085528,2,0.001,0.001
116090497,2,0.001,0.001
116091614,2,0.001,0.001
116094581,2,0.001,0.001
116094613,2,0.001,0.001
116095408,2,0.001,0.001
116095836,2,0.001,0.001
116096939,2,0.001,0.001
116104299,2,0.001,0.001
116104477,2,0.001,0.001
116111057,2,0.001,0.001
116136636,2,0.001,0.001
116152031,2,0.001,0.001
116157946,2,0.001,0.001
116164281,2,0.001,0.001
116211426,2,0.001,0.001
116257432,2,0.001,0.001
116283595,2,0.001,0.001
116300145,2,0.001,0.001
116320838,2,0.001,0.001
116322061,2,0.001,0.001
116324215,2,0.001,0.001
116330892,2,0.001,0.001
116335904,2,0.001,0.001
116336522,2,0.001,0.001
116342425,2,0.001,0.001
116342834,2,0.001,0.001
116346971,2,0.001,0.001
116347306,2,0.001,0.001
116350162,2,0.001,0.001
116351394,2,0.001,0.001
116354376,2,0.001,0.001
116357100,2,0.001,0.001
116365720,2,0.001,0.001
116377469,2,0.001,0.001
116379065,2,0.001,0.001
116380327,2,0.001,0.001
116383380,2,0.001,0.001
116401024,2,0.001,0.001
116407371,2,0.001,0.001
116425332,2,0.001,0.001
116428531,2,0.001,0.001
116451113,2,0.001,0.001
116452950,2,0.001,0.001
116463067,2,0.001,0.001
116466108,2,0.001,0.001
116466217,2,0.001,0.001
116467037,2,0.001,0.001
116468570,2,0.001,0.001
116469071,2,0.001,0.001
116479028,2,0.001,0.001
116479031,2,0.001,0.001
116482466,2,0.001,0.001
116521033,2,0.001,0.001
116524224,2,0.001,0.001
116542939,2,0.001,0.001
116610659,2,0.001,0.001
116664609,2,0.001,0.001
116671740,2,0.001,0.001
116686100,2,0.001,0.001
116694032,2,0.001,0.001
116694285,2,0.001,0.001
116705060,2,0.001,0.001
116734281,2,0.001,0.001
116735046,2,0.001,0.001
116736799,2,0.001,0.001
116737213,2,0.001,0.001
116741233,2,0.001,0.001
116760260,2,0.001,0.001
116778125,2,0.001,0.001
116814894,2,0.001,0.001
116824639,2,0.001,0.001
116825441,2,0.001,0.001
116831177,2,0.001,0.001
116831934,2,0.001,0.001
116837262,2,0.001,0.001
116866308,2,0.001,0.001
116873531,2,0.001,0.001
116880912,2,0.001,0.001
116887992,2,0.001,0.001
116908303,2,0.001,0.001
116917905,2,0.001,0.001
116956281,2,0.001,0.001
116956613,2,0.001,0.001
116956937,2,0.001,0.001
116959254,2,0.001,0.001
116959448,2,0.001,0.001
116960962,2,0.001,0.001
116963659,2,0.001,0.001
116964558,2,0.001,0.001
116964839,2,0.001,0.001
116970545,2,0.001,0.001
116970900,2,0.001,0.001
116971607,2,0.001,0.001
116971628,2,0.001,0.001
116971993,2,0.001,0.001
116972272,2,0.001,0.001
116972412,2,0.001,0.001
116972554,2,0.001,0.001
116977428,2,0.001,0.001
116986695,2,0.001,0.001
116994597,2,0.001,0.001
117000946,2,0.001,0.001
117002027,2,0.001,0.001
117003873,2,0.001,0.001
117010296,2,0.001,0.001
117014726,2,0.001,0.001
117026839,2,0.001,0.001
117029209,2,0.001,0.001
117061757,2,0.001,0.001
117062576,2,0.001,0.001
117065414,2,0.001,0.001
117068099,2,0.001,0.001
117077935,2,0.001,0.001
117084154,2,0.001,0.001
117086793,2,0.001,0.001
117089779,2,0.001,0.001
117090403,2,0.001,0.001
117093087,2,0.001,0.001
117096470,2,0.001,0.001
117097091,2,0.001,0.001
117099122,2,0.001,0.001
117112391,2,0.001,0.001
117114927,2,0.001,0.001
117118795,2,0.001,0.001
117119491,2,0.001,0.001
117119667,2,0.001,0.001
117122647,2,0.001,0.001
117127241,2,0.001,0.001
117127508,2,0.001,0.001
117128238,2,0.001,0.001
117132290,2,0.001,0.001
117158667,2,0.001,0.001
117173398,2,0.001,0.001
117199674,2,0.001,0.001
117207144,2,0.001,0.001
117218490,2,0.001,0.001
117228941,2,0.001,0.001
117262862,2,0.001,0.001
117264728,2,0.001,0.001
117265196,2,0.001,0.001
117267541,2,0.001,0.001
117281076,2,0.001,0.001
117294470,2,0.001,0.001
117306212,2,0.001,0.001
117338569,2,0.001,0.001
117346312,2,0.001,0.001
117346324,2,0.001,0.001
117346355,2,0.001,0.001
117346357,2,0.001,0.001
117346461,2,0.001,0.001
117346501,2,0.001,0.001
117346517,2,0.001,0.001
117346825,2,0.001,0.001
117346910,2,0.001,0.001
117347301,2,0.001,0.001
117347487,2,0.001,0.001
117348076,2,0.001,0.001
117348311,2,0.001,0.001
117349693,2,0.001,0.001
117349912,2,0.001,0.001
117353475,2,0.001,0.001
117366893,2,0.001,0.001
117391139,2,0.001,0.001
117424313,2,0.001,0.001
117428271,2,0.001,0.001
117505406,2,0.001,0.001
117525501,2,0.001,0.001
117562986,2,0.001,0.001
117582498,2,0.001,0.001
117583597,2,0.001,0.001
117585252,2,0.001,0.001
117592634,2,0.001,0.001
117592872,2,0.001,0.001
117603582,2,0.001,0.001
117606327,2,0.001,0.001
117606369,2,0.001,0.001
117607567,2,0.001,0.001
117614146,2,0.001,0.001
117619068,2,0.001,0.001
117630456,2,0.001,0.001
117631125,2,0.001,0.001
117632813,2,0.001,0.001
117633778,2,0.001,0.001
117639720,2,0.001,0.001
117639794,2,0.001,0.001
117642396,2,0.001,0.001
117667670,2,0.001,0.001
117684414,2,0.001,0.001
117686537,2,0.001,0.001
117716338,2,0.001,0.001
117716792,2,0.001,0.001
117719180,2,0.001,0.001
117722808,2,0.001,0.001
117723833,2,0.001,0.001
117724086,2,0.001,0.001
117727185,2,0.001,0.001
117729668,2,0.001,0.001
117730234,2,0.001,0.001
117733902,2,0.001,0.001
117734816,2,0.001,0.001
117735077,2,0.001,0.001
117741353,2,0.001,0.001
117745252,2,0.001,0.001
117746024,2,0.001,0.001
117748908,2,0.001,0.001
117750038,2,0.001,0.001
117752303,2,0.001,0.001
117757509,2,0.001,0.001
117759585,2,0.001,0.001
117759879,2,0.001,0.001
117761531,2,0.001,0.001
117762863,2,0.001,0.001
117763487,2,0.001,0.001
117763573,2,0.001,0.001
117764548,2,0.001,0.001
117765428,2,0.001,0.001
117771659,2,0.001,0.001
117772442,2,0.001,0.001
117774035,2,0.001,0.001
117775107,2,0.001,0.001
117775988,2,0.001,0.001
117776261,2,0.001,0.001
117787437,2,0.001,0.001
117788815,2,0.001,0.001
